text,label
It's astonished that they threw me a party.,surprise
I feel down since the weather ruined our trip.,sadness
The customer was irate about the delayed refund.,anger
It's stunned that they threw me a party.,surprise
It's nervous when I have a presentation soon.,fear
I feel amazing and full of energy right now.,joy
"For the record, the printer is out of paper.",neutral
I feel afraid thinking about the exam results come out tomorrow.,fear
I'm baffled by how unexpected this outcome was.,surprise
"we finished the project early, it makes me so delighted.",joy
I feel afraid thinking about the news reported a storm.,fear
"What a shock, I had no idea they were coming!",surprise
It's afraid when I heard a strange sound.,fear
"What a overjoyed moment, the show was great.",joy
"For the record, the printer is out of paper.",neutral
She sobbed quietly in the corner of the room.,sadness
"For the record, the office opens at nine.",neutral
"the food was delicious, it makes me so overjoyed.",joy
"he showed up early, totally astonished me.",surprise
"I missed the train, and it leaves me sad.",sadness
"the report is due Friday, as scheduled.",neutral
"they cancelled without telling me, which makes me extremely angry.",anger
I feel hopeless and tired of everything lately.,sadness
"For the record, the printer is out of paper.",neutral
I usually drink coffee in the morning.,neutral
"the trip was amazing, it makes me so happy.",joy
The empty house reminds me of how much I miss them.,sadness
I've been feeling gloomy and unmotivated all week.,sadness
It's scared when I heard a strange sound.,fear
It's angry how the service was so slow.,anger
I am livid that nobody told me about the changes.,anger
The recipe requires two cups of flour and sugar.,neutral
It's nervous when I heard a strange sound.,fear
It's nervous when the exam results come out tomorrow.,fear
"the trip was amazing, it makes me so delighted.",joy
"my favorite show ended, and it leaves me down.",sadness
"What a happy moment, the show was great.",joy
It's afraid when I heard a strange sound.,fear
I feel miserable since I missed the train.,sadness
I feel sad since my favorite show ended.,sadness
I'm irritated that the service was so slow.,anger
"the news reported a storm, and that terrifies me, I'm worried.",fear
I feel heartbroken since the weather ruined our trip.,sadness
I feel thrilled because the trip was amazing.,joy
I'm angry that he broke his promise again.,anger
I feel cheerful because the show was great.,joy
It's shocked that they threw me a party.,surprise
She cried for hours after hearing the bad news.,sadness
I noted that the bus was on time.,neutral
I'm angry that he broke his promise again.,anger
"he broke his promise again, which makes me extremely furious.",anger
"This is the best day of my life, I can't stop smiling.",joy
The meeting is scheduled for 3 PM tomorrow.,neutral
I feel thrilled because I met an old friend.,joy
It's frustrated how he broke his promise again.,anger
It's afraid when the news reported a storm.,fear
I was astonished when they threw me a party.,surprise
She screamed in horror when she saw the spider.,fear
"I have a presentation soon, and that terrifies me, I'm afraid.",fear
I got the job! I am ecstatic and can't wait to start.,joy
I was caught off guard by the sudden announcement.,surprise
"the price dropped suddenly, totally stunned me.",surprise
It's irritated how he broke his promise again.,anger
I feel gloomy since I lost my keys.,sadness
"the food was delicious, it makes me so thrilled.",joy
My heart aches every time I see that old photo.,sadness
I feel worried thinking about I have a presentation soon.,fear
I noted that the document was updated.,neutral
I yelled at him because I was so frustrated and mad.,anger
"What a happy moment, I met an old friend.",joy
The plot twist in the movie left me speechless.,surprise
It's scared when the plane hit turbulence.,fear
I feel scared thinking about the news reported a storm.,fear
The eerie silence in the house was terrifying.,fear
"I have a presentation soon, and that terrifies me, I'm worried.",fear
"they ignored my request, which makes me extremely frustrated.",anger
"the bus was on time, as scheduled.",neutral
The printer needs more paper in the tray.,neutral
It's enraging how they keep ignoring our complaints.,anger
I feel heartbroken since I missed the train.,sadness
I felt a chill of fear run down my spine.,fear
The funeral was unbearably sorrowful for everyone.,sadness
I'm irritated that the wifi keeps disconnecting.,anger
"What a delighted moment, the show was great.",joy
"he showed up early, totally astonished me.",surprise
I am furious about how they treated me at the store.,anger
It's frustrated how they cancelled without telling me.,anger
"the price dropped suddenly, totally stunned me.",surprise
It's scared when I heard a strange sound.,fear
"the team won unexpectedly, totally amazed me.",surprise
"the trip was amazing, it makes me so cheerful.",joy
"What a happy moment, the show was great.",joy
I feel overjoyed because the show was great.,joy
I'm irritated that they ignored my request.,anger
I despise how rude and dismissive they were to us.,anger
It's astonished that she got the promotion.,surprise
"my plans fell through, and it leaves me sad.",sadness
"the trip was amazing, it makes me so thrilled.",joy
I'm furious that they ignored my request.,anger
The bus route was changed due to construction.,neutral
It's so gloomy that I lost my keys.,sadness
"What a delighted moment, we finished the project early.",joy
I feel gloomy since my plans fell through.,sadness
"the plane hit turbulence, and that terrifies me, I'm nervous.",fear
I feel heartbroken since I missed the train.,sadness
He was petrified standing at the edge of the cliff.,fear
"the plane hit turbulence, and that terrifies me, I'm anxious.",fear
I was shocked when the team won unexpectedly.,surprise
I feel gloomy since my favorite show ended.,sadness
I feel heartbroken since I lost my keys.,sadness
I'm anxious about the results of my medical test.,fear
I regret what happened and it makes me miserable.,sadness
It's frustrated how the wifi keeps disconnecting.,anger
I was surprised when he showed up early.,surprise
It's anxious when the exam results come out tomorrow.,fear
Spending time with my family always fills me with happiness.,joy
She is fuming after discovering the betrayal.,anger
"Why would you do that, I am so angry right now!",anger
The kids were giggling with joy at the carnival.,joy
"the service was so slow, which makes me extremely frustrated.",anger
I was surprised when the team won unexpectedly.,surprise
The report contains data from the last quarter.,neutral
"the news reported a storm, and that terrifies me, I'm nervous.",fear
"the service was so slow, which makes me extremely furious.",anger
"the show was great, it makes me so delighted.",joy
I'm irritated that he broke his promise again.,anger
I was amazed when they threw me a party.,surprise
I feel worried thinking about the plane hit turbulence.,fear
"This is absolutely infuriating, I can't believe it!",anger
I was shocked when he showed up early.,surprise
I feel overjoyed because we finished the project early.,joy
It's so heartbroken that the weather ruined our trip.,sadness
"For the record, the office opens at nine.",neutral
I noted that the bus was on time.,neutral
He was devastated when he failed the exam.,sadness
"I lost my keys, and it leaves me gloomy.",sadness
"I heard a strange sound, and that terrifies me, I'm nervous.",fear
"For the record, the office opens at nine.",neutral
I feel miserable since I lost my keys.,sadness
It's scared when I have a presentation soon.,fear
I was surprised when she got the promotion.,surprise
I feel anxious thinking about I heard a strange sound.,fear
"my favorite show ended, and it leaves me sad.",sadness
I feel sad since my favorite show ended.,sadness
It's shocked that she got the promotion.,surprise
"the show was great, it makes me so delighted.",joy
It's scared when I heard a strange sound.,fear
It's astonished that the price dropped suddenly.,surprise
Losing my pet was one of the saddest moments of my life.,sadness
I was amazed when he showed up early.,surprise
"my favorite show ended, and it leaves me miserable.",sadness
I'm irritated that the wifi keeps disconnecting.,anger
"she got the promotion, totally surprised me.",surprise
"they cancelled without telling me, which makes me extremely annoyed.",anger
I'm irritated that the service was so slow.,anger
He parked the car outside the building.,neutral
I noted that the bus was on time.,neutral
I noted that the printer is out of paper.,neutral
"I have a presentation soon, and that terrifies me, I'm anxious.",fear
The conference will be held in the main hall.,neutral
"she got the promotion, totally stunned me.",surprise
It's so heartbroken that my plans fell through.,sadness
"For the record, the document was updated.",neutral
I feel sad since my plans fell through.,sadness
"the price dropped suddenly, totally amazed me.",surprise
I was stunned when she got the promotion.,surprise
It's afraid when the exam results come out tomorrow.,fear
I noted that the report is due Friday.,neutral
I feel overjoyed because we finished the project early.,joy
I feel heartbroken since I missed the train.,sadness
I noted that the printer is out of paper.,neutral
I was astonished when he showed up early.,surprise
I feel miserable since the weather ruined our trip.,sadness
"What a overjoyed moment, the trip was amazing.",joy
We were all surprised by the unexpected guest.,surprise
It's scared when the plane hit turbulence.,fear
"the trip was amazing, it makes me so cheerful.",joy
"For the record, the report is due Friday.",neutral
I noted that the office opens at nine.,neutral
She was frightened by the sudden loud thunder.,fear
I feel sad since the weather ruined our trip.,sadness
"the price dropped suddenly, totally shocked me.",surprise
I am afraid of what might happen if we fail.,fear
"What a overjoyed moment, the show was great.",joy
"the team won unexpectedly, totally surprised me.",surprise
"I missed the train, and it leaves me down.",sadness
It's annoyed how the service was so slow.,anger
Seeing you smile makes my whole day brighter.,joy
I noted that the report is due Friday.,neutral
It's angry how he broke his promise again.,anger
It's astonished that she got the promotion.,surprise
"I miss my old friends so much, it hurts.",sadness
I'm annoyed that he broke his promise again.,anger
The dark alley made me feel uneasy and frightened.,fear
The thought of losing my job fills me with anxiety.,fear
We won the game and I am thrilled beyond words.,joy
I feel scared thinking about the plane hit turbulence.,fear
"What a fantastic surprise, I'm grinning from ear to ear.",joy
It's frustrated how the service was so slow.,anger
The store is located near the central market.,neutral
"What a thrilled moment, the trip was amazing.",joy
I feel overjoyed because the show was great.,joy
"my favorite show ended, and it leaves me sad.",sadness
"What a happy moment, we finished the project early.",joy
"the exam results come out tomorrow, and that terrifies me, I'm scared.",fear
It's worried when I have a presentation soon.,fear
"I am so happy today, everything feels wonderful!",joy
I feel worried thinking about I heard a strange sound.,fear
"they cancelled without telling me, which makes me extremely furious.",anger
It's amazed that the team won unexpectedly.,surprise
"For the record, the document was updated.",neutral
I feel afraid thinking about the news reported a storm.,fear
"the document was updated, as scheduled.",neutral
I feel anxious thinking about the plane hit turbulence.,fear
It's stunned that the price dropped suddenly.,surprise
We discussed the project timeline during the call.,neutral
I feel thrilled because we finished the project early.,joy
"I missed the train, and it leaves me miserable.",sadness
It's scared when the exam results come out tomorrow.,fear
It's worried when the exam results come out tomorrow.,fear
"I'm shocked, I didn't think we'd actually win.",surprise
"What a happy moment, I met an old friend.",joy
I feel sad since my favorite show ended.,sadness
His heart pounded with terror during the chase.,fear
I feel afraid thinking about I heard a strange sound.,fear
I feel happy because we finished the project early.,joy
I noted that the printer is out of paper.,neutral
I'm angry that he broke his promise again.,anger
It's scared when I have a presentation soon.,fear
"I'm overjoyed, my dream finally came true!",joy
"I lost my keys, and it leaves me gloomy.",sadness
I'm so mad that they cancelled the flight without notice.,anger
She screamed in anger after the unfair decision.,anger
I was astonished when the price dropped suddenly.,surprise
"the printer is out of paper, as scheduled.",neutral
"the document was updated, as scheduled.",neutral
"For the record, the office opens at nine.",neutral
I updated the spreadsheet with the new figures.,neutral
It's surprised that the team won unexpectedly.,surprise
"What a overjoyed moment, I met an old friend.",joy
"What a delighted moment, the trip was amazing.",joy
I'm amazed at how things turned out so suddenly.,surprise
It's stunned that he showed up early.,surprise
My heart is full of joy after the wedding ceremony.,joy
I'm overwhelmed with grief after the accident.,sadness
"I can't stand this anymore, I'm boiling with rage.",anger
It's irritated how the service was so slow.,anger
It's scared when the plane hit turbulence.,fear
Watching them leave made me feel so blue.,sadness
I clenched my fists in anger when I heard the news.,anger
"the document was updated, as scheduled.",neutral
She is reading a book about world history.,neutral
It's angry how they ignored my request.,anger
I feel overjoyed because I met an old friend.,joy
I'm scared something bad is going to happen.,fear
"the news reported a storm, and that terrifies me, I'm anxious.",fear
"For the record, the report is due Friday.",neutral
I feel heartbroken since my favorite show ended.,sadness
"I heard a strange sound, and that terrifies me, I'm anxious.",fear
"I can't believe we actually won the lottery, I'm overjoyed!",joy
I feel miserable since my plans fell through.,sadness
I'm angry that the wifi keeps disconnecting.,anger
I panicked when I heard the strange noise outside.,fear
"the document was updated, as scheduled.",neutral
She was shocked to find a gift waiting on her desk.,surprise
"the printer is out of paper, as scheduled.",neutral
It's frustrated how they ignored my request.,anger
It's frustrated how they ignored my request.,anger
I noted that the report is due Friday.,neutral
"they ignored my request, which makes me extremely frustrated.",anger
"What a thrilled moment, we finished the project early.",joy
I noted that the document was updated.,neutral
"For the record, the bus was on time.",neutral
It's stunned that the team won unexpectedly.,surprise
I'm worried sick about the upcoming surgery.,fear
I feel miserable since my favorite show ended.,sadness
I feel triumphant and proud of what we accomplished.,joy
She organized her files into separate folders.,neutral
"I met an old friend, it makes me so happy.",joy
"the food was delicious, it makes me so cheerful.",joy
"For the record, the office opens at nine.",neutral
"the document was updated, as scheduled.",neutral
"the service was so slow, which makes me extremely furious.",anger
"What a delighted moment, the trip was amazing.",joy
I feel sad since I lost my keys.,sadness
"the document was updated, as scheduled.",neutral
"We celebrated all night, it was a joyful occasion.",joy
My hands were shaking with fear during the storm.,fear
I feel gloomy since I lost my keys.,sadness
"the food was delicious, it makes me so overjoyed.",joy
I'm frustrated that they cancelled without telling me.,anger
"the price dropped suddenly, totally astonished me.",surprise
It's so gloomy that the weather ruined our trip.,sadness
"the service was so slow, which makes me extremely frustrated.",anger
It's annoyed how he broke his promise again.,anger
"the trip was amazing, it makes me so delighted.",joy
"I have a presentation soon, and that terrifies me, I'm nervous.",fear
"For the record, the printer is out of paper.",neutral
"For the record, the report is due Friday.",neutral
"For the record, the document was updated.",neutral
I was amazed when she got the promotion.,surprise
"they threw me a party, totally shocked me.",surprise
I feel anxious thinking about I heard a strange sound.,fear
"the document was updated, as scheduled.",neutral
It's so miserable that I lost my keys.,sadness
I feel delighted because the show was great.,joy
"the bus was on time, as scheduled.",neutral
"he broke his promise again, which makes me extremely angry.",anger
"What a cheerful moment, the show was great.",joy
"For the record, the office opens at nine.",neutral
"the document was updated, as scheduled.",neutral
I feel nervous and afraid before every exam.,fear
It's so gloomy that I missed the train.,sadness
I feel empty and heartbroken since the breakup.,sadness
"my plans fell through, and it leaves me miserable.",sadness
"I'm dreading the interview, I feel so nervous.",fear
Please send me the document by end of day.,neutral
I'm frustrated that they ignored my request.,anger
"I heard a strange sound, and that terrifies me, I'm scared.",fear
I was stunned when they threw me a party.,surprise
"I lost my keys, and it leaves me heartbroken.",sadness
He walked to the office and started his work.,neutral
It's irritated how the wifi keeps disconnecting.,anger
I'm outraged by the way they handled the situation.,anger
I was astonished when he showed up early.,surprise
"For the record, the office opens at nine.",neutral
"we finished the project early, it makes me so cheerful.",joy
It's annoyed how the service was so slow.,anger
It's afraid when I have a presentation soon.,fear
Every morning I wake up grateful and happy.,joy
"the office opens at nine, as scheduled.",neutral
I feel down since my plans fell through.,sadness
"we finished the project early, it makes me so happy.",joy
"Out of nowhere, they announced the surprise wedding.",surprise
I jumped in surprise when the fireworks went off.,surprise
"I met an old friend, it makes me so overjoyed.",joy
"Wow, I never expected to see you here!",surprise
"What a overjoyed moment, the trip was amazing.",joy
I noted that the office opens at nine.,neutral
It's amazed that the price dropped suddenly.,surprise
"they threw me a party, totally stunned me.",surprise
I feel disheartened after losing the competition.,sadness
He was stunned when he won the award.,surprise
"my plans fell through, and it leaves me sad.",sadness
"they ignored my request, which makes me extremely furious.",anger
"he showed up early, totally astonished me.",surprise
"my favorite show ended, and it leaves me heartbroken.",sadness
"I lost my keys, and it leaves me miserable.",sadness
It's stunned that the price dropped suddenly.,surprise
I feel anxious thinking about I heard a strange sound.,fear
I feel happy because the trip was amazing.,joy
I need to finish my homework before dinner.,neutral
It's stunned that he showed up early.,surprise
I feel down since my plans fell through.,sadness
It's irritated how they cancelled without telling me.,anger
Nobody expected such a stunning result.,surprise
"I love this song, it makes me feel so cheerful.",joy
It's amazed that he showed up early.,surprise
It's astonished that the team won unexpectedly.,surprise
It's so down that I lost my keys.,sadness
I feel anxious thinking about I have a presentation soon.,fear
The library closes at 8 PM on weekdays.,neutral
It's nervous when I have a presentation soon.,fear
"the team won unexpectedly, totally surprised me.",surprise
It's so gloomy that I missed the train.,sadness
I feel cheerful because I met an old friend.,joy
The horror movie left me trembling with fear.,fear
"they cancelled without telling me, which makes me extremely angry.",anger
"my plans fell through, and it leaves me gloomy.",sadness
It's so sad that my plans fell through.,sadness
"the printer is out of paper, as scheduled.",neutral
I feel gloomy since my favorite show ended.,sadness
I was amazed when the team won unexpectedly.,surprise
I'm annoyed that he broke his promise again.,anger
"I never imagined this would happen, I'm amazed!",surprise
"the document was updated, as scheduled.",neutral
I feel worried thinking about the exam results come out tomorrow.,fear
This unfair treatment is making me extremely angry.,anger
It's frustrated how they ignored my request.,anger
"we finished the project early, it makes me so overjoyed.",joy
I feel so sad and lonely tonight.,sadness
It's scared when I heard a strange sound.,fear
It's amazed that they threw me a party.,surprise
I noted that the bus was on time.,neutral
